tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
199,2020-02-01 07:28:19.5930,2020-02-01 07:31:39.1600,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42368,Subscriber,1980,1
493,2020-02-01 07:30:16.2830,2020-02-01 07:38:29.8390,3268,Lafayette Park,40.71346382669200,-74.06285852193830,3185,City Hall,40.7177325,-74.043845,29472,Subscriber,1997,2
540,2020-02-01 07:30:49.3070,2020-02-01 07:39:49.8210,3193,Lincoln Park,40.7246050998869,-74.07840594649320,3195,Sip Ave,40.73089709786180,-74.06391263008120,42145,Subscriber,1986,2
177,2020-02-01 07:30:51.7490,2020-02-01 07:33:49.5890,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,3211,Newark Ave,40.72152515,-74.046304543,42196,Subscriber,1989,2
415,2020-02-01 07:31:01.2480,2020-02-01 07:37:56.5370,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,29250,Subscriber,1988,1
471,2020-02-01 07:42:12.8980,2020-02-01 07:50:04.0840,3195,Sip Ave,40.73089709786180,-74.06391263008120,3193,Lincoln Park,40.7246050998869,-74.07840594649320,42133,Subscriber,1983,1
284,2020-02-01 07:46:56.0740,2020-02-01 07:51:40.8400,3481,York St,40.71649,-74.04105,3639,Harborside,40.7192517,-74.034234,42233,Subscriber,1985,2
465,2020-02-01 07:48:41.2720,2020-02-01 07:56:26.7200,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3203,Hamilton Park,40.727595966,-74.044247311,29242,Customer,1969,0
253,2020-02-01 07:56:24.3040,2020-02-01 08:00:37.8030,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647170,-74.04311746358870,29484,Subscriber,1980,2
106,2020-02-01 08:01:02.7470,2020-02-01 08:02:49.5530,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42347,Subscriber,1990,1
355,2020-02-01 08:01:08.7350,2020-02-01 08:07:04.2280,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73089709786180,-74.06391263008120,29459,Subscriber,1990,1
200,2020-02-01 08:01:32.5820,2020-02-01 08:04:53.4560,3481,York St,40.71649,-74.04105,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42318,Subscriber,1988,2
277,2020-02-01 08:04:52.9600,2020-02-01 08:09:30.3860,3638,Washington St,40.7242941,-74.0354826,3278,Monmouth and 6th,40.72568548362900,-74.04879033565520,29600,Subscriber,1986,2
1160,2020-02-01 08:07:08.2300,2020-02-01 08:26:28.7080,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3185,City Hall,40.7177325,-74.043845,29553,Customer,1991,1
583,2020-02-01 08:07:54.9480,2020-02-01 08:17:37.9880,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601172964630,-74.05038893222810,42315,Subscriber,1968,1
605,2020-02-01 08:10:01.7290,2020-02-01 08:20:07.3220,3196,Riverview Park,40.7443187,-74.0439909,3211,Newark Ave,40.72152515,-74.046304543,42262,Subscriber,1984,1
352,2020-02-01 08:12:07.3220,2020-02-01 08:17:59.4060,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42160,Subscriber,1992,1
381,2020-02-01 08:14:38.1390,2020-02-01 08:21:00.0030,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,42161,Subscriber,1988,2
428,2020-02-01 08:14:39.5690,2020-02-01 08:21:47.9050,3212,Christ Hospital,40.734785818,-74.050443636,3209,Brunswick St,40.7241765,-74.0506564,42120,Subscriber,1984,1
637,2020-02-01 08:15:36.0270,2020-02-01 08:26:13.6230,3210,Pershing Field,40.742677141,-74.051788633,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,42312,Subscriber,1981,1
136,2020-02-01 08:16:53.0290,2020-02-01 08:19:09.9070,3187,Warren St,40.7211236,-74.03805095,3639,Harborside,40.7192517,-74.034234,29494,Subscriber,1993,2
379,2020-02-01 08:21:07.3860,2020-02-01 08:27:27.1590,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42326,Subscriber,1993,1
1266,2020-02-01 08:39:03.0500,2020-02-01 09:00:09.1860,3678,Fairmount Ave,40.72572613742560,-74.07195925712590,3678,Fairmount Ave,40.72572613742560,-74.07195925712590,42243,Subscriber,1991,1
671,2020-02-01 08:40:07.9570,2020-02-01 08:51:19.8610,3191,Union St,40.7182113,-74.0836394,3194,McGinley Square,40.7253399253558,-74.06762212514880,42354,Subscriber,1973,1
332,2020-02-01 08:41:39.7750,2020-02-01 08:47:11.9440,3280,Astor Place,40.71928220070700,-74.07126188278200,3195,Sip Ave,40.73089709786180,-74.06391263008120,29507,Subscriber,1988,1
